Title,Authority,Year,Type,Link,Note
World Health Organization (WHO),WHO,,Health Authority Portal,https://www.who.int,"Global health guidance, essential medicines, disease data."
WHO Model List of Essential Medicines,WHO,,Drug List Database,https://list.essentialmeds.org,Reference list of essential medicines updated biennially.
U.S. Food and Drug Administration (FDA),US FDA,,Regulatory Authority,https://www.fda.gov,"Drug approvals, labeling (FDA Orange Book), safety alerts."
FDA Orange Book,US FDA,,Approved Drug Database,https://www.accessdata.fda.gov/scripts/cder/ob,Therapeutic equivalence evaluations for approved drug products.
European Medicines Agency (EMA),EMA,,Regulatory Authority,https://www.ema.europa.eu,"EU drug approval, pharmacovigilance, and guideline documents."
National Center for Biotechnology Information (NCBI),NLM/NIH,,Research Portal,https://www.ncbi.nlm.nih.gov,"Umbrella portal for PubMed, PMC, Bookshelf, GenBank."
PubMed Central (PMC),NLM/NIH,,Full-text Repository,https://www.ncbi.nlm.nih.gov/pmc,Free full-text archive of biomedical/life-sciences journal literature.
ResearchGate,ResearchGate GmbH,,Academic Networking,https://www.researchgate.net,"Researcher profiles, preprints, and paper-sharing network."
Academia.edu,Academia Inc.,,Academic Networking,https://www.academia.edu,Platform to share and discover academic papers.
Semantic Scholar,Allen Institute for AI,,AI Research Search Engine,https://www.semanticscholar.org,AI-powered literature search with citation graphs and TL;DR summaries.
CORE,Jisc & Open University (UK),,Open Access Aggregator,https://core.ac.uk,Aggregates open-access research papers worldwide.
BASE (Bielefeld Academic Search Engine),Bielefeld University Library,,Academic Search Engine,https://www.base-search.net,One of the largest search engines for academic open-access web resources.
Directory of Open Access Journals (DOAJ),DOAJ,,Journal Directory,https://doaj.org,Curated list of peer-reviewed open-access journals.
PLOS (Public Library of Science),PLOS,,Open Access Publisher,https://www.plos.org,"Open-access journals including PLOS Medicine, PLOS ONE."
National Institutes of Health (NIH),U.S. NIH,,Research Authority,https://www.nih.gov,"Federal biomedical research agency; grants, guidelines, data."
Centers for Disease Control and Prevention (CDC),U.S. CDC,,Public Health Authority,https://www.cdc.gov,"Epidemiology, drug safety alerts, immunization schedules."
Indian Pharmacopoeia Commission (IPC) Portal,"IPC, Govt. of India",,Regulatory/Standards Body,https://ipc.gov.in,Official Indian drug standards and pharmacovigilance (PvPI) hub.
PharmaTutor,PharmaTutor,,Educational Portal,https://www.pharmatutor.org,"Pharmacy study material, articles, and project resources for UG/PG."
Pharmabiz,Saffron Media,,Industry News Portal,https://www.pharmabiz.com,Indian pharmaceutical industry news and regulatory updates.
Express Pharma,Indian Express Group,,Industry News Portal,https://www.expresspharma.in,Trade publication covering Indian pharma manufacturing & policy.
Pharmaceutical Journal (The Pharmaceutical Journal),Royal Pharmaceutical Society,,Professional News Portal,https://pharmaceutical-journal.com,UK-based professional and clinical pharmacy news/CPD resource.
LactMed / Environmental Health Databases,NLM (TOXNET successor),,Toxicology/Lactation Database,https://www.ncbi.nlm.nih.gov/books/NBK501922,Drug and lactation database for maternal-fetal pharmacology.
STAT News – Pharma,STAT (Boston Globe Media),,Industry News,https://www.statnews.com/category/pharma,"In-depth reporting on drug development, FDA actions, biotech."
ChemSpider,Royal Society of Chemistry,,Chemical Structure Database,https://www.chemspider.com,Free chemical structure database aggregating multiple sources.
KEGG (Kyoto Encyclopedia of Genes and Genomes),Kanehisa Laboratories,,Pathway/Drug Database,https://www.genome.jp/kegg,"Metabolic pathways, drug classification, and target databases."
WHOCC – ATC/DDD Index,WHO Collaborating Centre,,Drug Classification Tool,https://www.whocc.no/atc_ddd_index,Anatomical Therapeutic Chemical classification and defined daily doses.
MedlinePlus,U.S. NLM,,Consumer Health Information,https://medlineplus.gov,Patient-friendly drug and disease information from NLM.
National Health Portal of India (NHP),"MoHFW, Govt. of India",,Government Health Portal,https://www.nhp.gov.in,Indian government portal for health information and schemes.
The Lancet,Elsevier,,General Medicine,https://www.thelancet.com,High
New England Journal of Medicine (NEJM),Massachusetts Medical Society,,General Medicine,https://www.nejm.org,High
JAMA (Journal of the American Medical Association),American Medical Association,,General Medicine,https://jamanetwork.com/journals/jama,High
BMJ (British Medical Journal),BMJ Publishing Group,,General Medicine,https://www.bmj.com,High
Nature Medicine,Springer Nature,,Translational Medicine,https://www.nature.com/nm,High
Nature Reviews Drug Discovery,Springer Nature,,Drug Discovery,https://www.nature.com/nrd,High
Clinical Pharmacology & Therapeutics,Wiley / ASCPT,,Clinical Pharmacology,https://ascpt.onlinelibrary.wiley.com/journal/15326535,High
British Journal of Clinical Pharmacology,Wiley / BPS,,Clinical Pharmacology,https://bpspubs.onlinelibrary.wiley.com/journal/13652125,High
British Journal of Pharmacology,Wiley / BPS,,Pharmacology,https://bpspubs.onlinelibrary.wiley.com/journal/14765381,High
Indian Journal of Pharmacology (IJP),Wolters Kluwer / IPS,,Pharmacology,https://journals.lww.com/ijpharmacology,Moderate
Indian Journal of Pharmaceutical Sciences (IJPS),IPGA,,Pharmaceutical Sciences,https://www.ijpsonline.com,Moderate
Indian Journal of Pharmaceutical Education and Research (IJPER),Association of Pharmaceutical Teachers of India,,Pharmacy Education,https://ijper.org,Moderate
Journal of Pharmaceutical Sciences,Elsevier / AAPS,,Pharmaceutics,https://www.jpharmsci.org,High
International Journal of Pharmaceutics,Elsevier,,Pharmaceutics,https://www.journals.elsevier.com/international-journal-of-pharmaceutics,High
European Journal of Pharmaceutical Sciences,Elsevier,,Pharmaceutical Sciences,https://www.journals.elsevier.com/european-journal-of-pharmaceutical-sciences,Moderate-High
Drug Safety,Springer / Adis,,Pharmacovigilance,https://link.springer.com/journal/40264,High
Pharmacoeconomics,Springer / Adis,,Health Economics,https://link.springer.com/journal/40273,High
Journal of Clinical Pharmacy and Therapeutics,Wiley,,Clinical Pharmacy,https://onlinelibrary.wiley.com/journal/13652710,Moderate
Research in Social and Administrative Pharmacy,Elsevier,,Social Pharmacy,https://www.journals.elsevier.com/research-in-social-and-administrative-pharmacy,Moderate-High
American Journal of Health-System Pharmacy (AJHP),Oxford University Press / ASHP,,Hospital Pharmacy,https://academic.oup.com/ajhp,Moderate
Annals of Pharmacotherapy,SAGE,,Clinical Pharmacotherapy,https://journals.sagepub.com/home/aop,Moderate
Therapeutic Innovation & Regulatory Science,Springer / DIA,,Regulatory Science,https://link.springer.com/journal/43441,Moderate
Regulatory Toxicology and Pharmacology,Elsevier,,Regulatory Toxicology,https://www.journals.elsevier.com/regulatory-toxicology-and-pharmacology,Moderate
Frontiers in Pharmacology,Frontiers Media,,Pharmacology (Open Access),https://www.frontiersin.org/journals/pharmacology,Moderate
BMC Pharmacology and Toxicology,BioMed Central / Springer Nature,,Pharmacology (Open Access),https://bmcpharmacoltoxicol.biomedcentral.com,Moderate
PLOS ONE,PLOS,,Multidisciplinary (Open Access),https://journals.plos.org/plosone,Moderate
Asian Journal of Pharmaceutical and Clinical Research (AJPCR),Innovare Academic Sciences,,Pharmaceutical Sciences,https://innovareacademics.in/journals/index.php/ajpcr,Low-Moderate
Journal of Young Pharmacists (JYP),ELSEVIER / Phcog.net,,Pharmacy Education/Research,https://jyoungpharm.org,Low-Moderate
Pharmacognosy Magazine,Phcog.net,,Pharmacognosy,https://www.phcog.com,Low-Moderate
International Journal of Pharmacy and Pharmaceutical Sciences (IJPPS),Innovare Academic Sciences,,Pharmaceutical Sciences,https://innovareacademics.in/journals/index.php/ijpps,Low-Moderate
Journal of Advanced Pharmaceutical Technology & Research,Wolters Kluwer / Medknow,,Pharmaceutical Technology,https://journals.lww.com/japtr,Low-Moderate
Value in Health,Elsevier / ISPOR,,Health Economics/Outcomes,https://www.valueinhealthjournal.com,High
Clinical Therapeutics,Elsevier,,Clinical Pharmacology,https://www.clinicaltherapeutics.com,Moderate
Pharmaceutical Research,Springer,,Pharmaceutics/Biopharmaceutics,https://link.springer.com/journal/11095,Moderate-High
AAPS Journal,Springer / AAPS,,Pharmaceutical Sciences,https://link.springer.com/journal/12248,Moderate-High
Molecular Pharmaceutics,American Chemical Society,,Drug Delivery/Formulation,https://pubs.acs.org/journal/mpohbp,High
Journal of Controlled Release,Elsevier,,Drug Delivery,https://www.journals.elsevier.com/journal-of-controlled-release,High
Toxicology and Applied Pharmacology,Elsevier,,Toxicology,https://www.journals.elsevier.com/toxicology-and-applied-pharmacology,Moderate-High
Current Drug Safety,Bentham Science,,Pharmacovigilance,https://www.eurekaselect.com/journal/cds,Low-Moderate
Pharmacy Practice,Centro de Investigaciones y Publicaciones Farmaceuticas (Open Access),,Pharmacy Practice/Community Pharmacy,https://pharmacypractice.org,Low-Moderate
PubMed/MEDLINE,,,Literature Database,https://pubmed.ncbi.nlm.nih.gov,Primary source for peer-reviewed biomedical research papers; use MeSH terms for precision searches.
PubMed Central (PMC),,,Full-text Repository,https://www.ncbi.nlm.nih.gov/pmc,Free full-text versions of many PubMed-indexed articles.
Scopus,,,Abstract & Citation Database,https://www.scopus.com,"Citation tracking, author metrics (h-index), and subject-area filtering."
Web of Science Core Collection,,,Citation Database,https://www.webofscience.com,Source of official Journal Impact Factor (Clarivate JCR).
ScienceDirect,,,Full-text Database,https://www.sciencedirect.com,Elsevier's full-text platform for pharmaceutical/biomedical journals.
SpringerLink,,,Full-text Database,https://link.springer.com,Access point for Springer/Nature/Adis journals and book chapters.
Wiley Online Library,,,Full-text Database,https://onlinelibrary.wiley.com,"Hosts BPS, ASCPT and other pharmacology society journals."
JSTOR,,,Archival Database,https://www.jstor.org,Historical and cross-disciplinary academic articles/books.
medRxiv,,,Preprint Server (Health Sciences),https://www.medrxiv.org,Preprints in medicine/health sciences prior to peer review.
bioRxiv,,,Preprint Server (Biology),https://www.biorxiv.org,Preprints in biological sciences including pharmacology.
ChemRxiv,,,Preprint Server (Chemistry),https://chemrxiv.org,"Preprints in chemistry, medicinal chemistry, and drug design."
SSRN,,,Preprint/Working Paper Repository,https://www.ssrn.com,"Social sciences preprints, including health policy/economics."
ResearchGate,,,Researcher Network,https://www.researchgate.net,"Author-uploaded papers, preprints, and Q&A among researchers."
Semantic Scholar,,,AI Literature Search,https://www.semanticscholar.org,AI-based paper discovery with influential-citation ranking.
CORE,,,Open-Access Aggregator,https://core.ac.uk,Aggregates full-text open-access papers from repositories worldwide.
OpenAlex,,,Open Scholarly Index,https://openalex.org,"Free, open replacement for Microsoft Academic Graph; API access to metadata."
Dimensions.ai,,,Research Analytics Database,https://www.dimensions.ai,"Links publications, grants, clinical trials, and patents."
Google Scholar,,,Academic Search Engine,https://scholar.google.com,Broadest coverage; useful for citation counts and grey literature.
EBSCOhost (Academic Search Complete / MEDLINE),,,Full-text Database,https://www.ebsco.com,Common university-subscribed multidisciplinary database.
ProQuest Central,,,Full-text/Dissertation Database,https://www.proquest.com,"Aggregator including dissertations, theses, and journals."
Europe PMC,,,Life Sciences Repository,https://europepmc.org,European mirror/extension of PMC with patent and preprint links.
LILACS (Latin American & Caribbean Health Sciences),,,Regional Literature Database,https://lilacs.bvsalud.org,Regional biomedical literature index for Latin America/Caribbean.
IndMED / medIND,,,Indian Biomedical Database,https://medind.nic.in,Indexing of Indian biomedical journals (ICMR-NIC initiative).
Cochrane Central Register of Controlled Trials (CENTRAL),,,Trials Database,https://www.cochranelibrary.com/central,Repository of randomized controlled trial records feeding systematic reviews.
WHO International Clinical Trials Registry Platform (ICTRP),,,Trial Registry Aggregator,https://www.who.int/clinical-trials-registry-platform,Meta-register linking national clinical trial registries.
Central Drugs Standard Control Organization (CDSCO),,,National Drug Regulatory Authority,https://cdsco.gov.in,"Approves new drugs, clinical trials, regulates import/manufacture of drugs & cosmetics under DCGI."
Drug Controller General of India (DCGI) Office,,,Regulatory Authority (Head of CDSCO),https://cdsco.gov.in,Grants marketing authorization for new drugs and vaccines in India.
Indian Pharmacopoeia Commission (IPC),,,Standards-Setting Body,https://ipc.gov.in,Publishes the Indian Pharmacopoeia (IP) and operates the Pharmacovigilance Programme of India (PvPI).
Pharmacy Council of India (PCI),,,Professional Regulatory Council,https://www.pci.nic.in,Regulates pharmacy education and practice under the Pharmacy Act 1948.
National Pharmaceutical Pricing Authority (NPPA),,,Drug Pricing Regulator,https://www.nppaindia.nic.in,Regulates prices of essential medicines under the Drugs (Prices Control) Order.
Ministry of Health and Family Welfare (MoHFW),,,Central Government Ministry,https://www.mohfw.gov.in,Apex ministry overseeing national health policy and drug regulation.
Indian Council of Medical Research (ICMR),,,National Biomedical Research Body,https://www.icmr.gov.in,Issues ethical guidelines for biomedical/health research; funds research.
Department of Pharmaceuticals (DoP),,,Government Department,https://pharmaceuticals.gov.in,"Formulates pharmaceutical industry policy, including PLI schemes and Pharma Vision."
Ministry of AYUSH,,,Regulatory Ministry (Traditional Medicine),https://www.ayush.gov.in,"Regulates Ayurveda, Yoga, Unani, Siddha and Homoeopathy drug standards."
National Institute of Biologicals (NIB),,,Biologics Testing/Standards Body,https://www.nib.gov.in,"Quality control and standardization of biological products (vaccines, sera)."
Bureau of Indian Standards (BIS) – Medical & Pharma Sectional Committees,,,National Standards Body,https://www.bis.gov.in,Sets Indian standards relevant to pharmaceutical packaging/devices.
National Accreditation Board for Testing and Calibration Laboratories (NABL),,,Laboratory Accreditation Body,https://www.nabl-india.org,Accredits pharmaceutical testing/calibration laboratories.
"Drugs and Cosmetics Act, 1940 & Rules, 1945",,,Primary Legislation,https://cdsco.gov.in/opencms/opencms/en/Legislation/Acts,"Foundational law governing import, manufacture, sale & distribution of drugs/cosmetics in India."
"New Drugs and Clinical Trials Rules, 2019",,,Regulatory Guideline,https://cdsco.gov.in/opencms/opencms/en/Legislation/Acts,"Governs clinical trial approval, conduct, ethics committee registration, and compensation in India."
"Pharmacy Act, 1948",,,Primary Legislation,https://www.pci.nic.in,Regulates the pharmacy profession and education in India (PCI's enabling act).
"Narcotic Drugs and Psychotropic Substances (NDPS) Act, 1985",,,Primary Legislation,https://www.indiacode.nic.in,Controls narcotic drugs and psychotropic substances; penalties for misuse.
ICMR National Ethical Guidelines for Biomedical and Health Research Involving Human Participants (2017),,,Ethics Guideline,https://ethics.ncdirindia.org/asset/pdf/ICMR_National_Ethical_Guidelines.pdf,Governing framework for ethics of human-subject research in India (updated periodically).
Good Clinical Practice (GCP) Guidelines for India (CDSCO),,,Regulatory Guideline,https://cdsco.gov.in/opencms/opencms/en/Guidance-,Indian-specific GCP standards aligned with ICH-GCP for clinical trial conduct.
Schedule Y (Drugs and Cosmetics Rules),,,Regulatory Schedule,https://cdsco.gov.in,Requirements for clinical trials & new drug approvals in India.
Schedule M (Good Manufacturing Practices),,,Regulatory Schedule,https://cdsco.gov.in,GMP requirements for pharmaceutical manufacturing premises in India.
National List of Essential Medicines (NLEM) India,,,Essential Drug List,https://cdsco.gov.in/opencms/opencms/en/nlem,"Government-notified list of essential medicines, revised periodically."
Pharmacovigilance Programme of India (PvPI),,,National Safety Monitoring Programme,https://www.ipc.gov.in/pvpi,"National ADR (adverse drug reaction) monitoring system, coordinated by IPC."
Clinical Trials Registry – India (CTRI),,,Trial Registry,https://ctri.nic.in,Mandatory prospective registration of clinical trials conducted in India.
"Biomedical Waste Management Rules, 2016",,,Environmental/Health Regulation,https://cpcb.nic.in,Governs disposal of pharmaceutical and biomedical waste in India.
"Right to Information Act, 2005 (Health-sector application)",,,Governance Legislation,https://www.rti.gov.in,Enables transparency in access to regulatory records relevant to pharma governance.
U.S. Food and Drug Administration (FDA),,,National Regulator (USA),https://www.fda.gov,"Regulates drugs, biologics, and devices in the United States."
European Medicines Agency (EMA),,,Regional Regulator (EU),https://www.ema.europa.eu,Centralized authorization and safety monitoring for medicines in the EU.
International Council for Harmonisation (ICH),,,Global Harmonization Body,https://www.ich.org,"Publishes harmonized guidelines (Q, S, E, M series) adopted worldwide."
ICH E6(R2)/(R3) – Good Clinical Practice,,,International Guideline,https://www.ich.org/page/efficacy-guidelines,Global ethical and scientific quality standard for clinical trials.
ICH Q Series (Q1–Q14) – Quality Guidelines,,,International Guideline,https://www.ich.org/page/quality-guidelines,"Standards for stability testing, validation, and pharmaceutical quality systems."
World Health Organization (WHO) GMP Guidelines,,,International Guideline,https://www.who.int/teams/health-product-and-policy-standards/standards-and-specifications/norms-and-standards/current-projects/gmp,"WHO's Good Manufacturing Practice standards, widely adopted by developing nations."
WHO Good Clinical Practice Guidelines,,,International Guideline,https://www.who.int,WHO's operational guidance for ethical clinical trial conduct.
"Medicines and Healthcare products Regulatory Agency (MHRA), UK",,,National Regulator (UK),https://www.gov.uk/government/organisations/medicines-and-healthcare-products-regulatory-agency,"Regulates medicines, medical devices, and clinical trials in the UK."
"Therapeutic Goods Administration (TGA), Australia",,,National Regulator (Australia),https://www.tga.gov.au,Regulates therapeutic goods including medicines and devices in Australia.
Health Canada,,,National Regulator (Canada),https://www.canada.ca/en/health-canada.html,"Regulates drugs, medical devices, and natural health products in Canada."
"Pharmaceuticals and Medical Devices Agency (PMDA), Japan",,,National Regulator (Japan),https://www.pmda.go.jp/english,Reviews and approves drugs/devices in Japan.
China National Medical Products Administration (NMPA),,,National Regulator (China),https://english.nmpa.gov.cn,"Regulates drugs, devices, and cosmetics in China."
Swissmedic,,,National Regulator (Switzerland),https://www.swissmedic.ch,Swiss authorization and supervision authority for medicines.
South African Health Products Regulatory Authority (SAHPRA),,,National Regulator (South Africa),https://www.sahpra.org.za,Regulates health products in South Africa.
World Health Organization Prequalification Programme,,,International Programme,https://extranet.who.int/prequal,WHO evaluation for medicines procured by UN agencies for low-resource settings.
U.S. Pharmacopeia (USP–NF),,,International Standards Compendium,https://www.usp.org,"Official quality standards for medicines, widely referenced globally."
European Pharmacopoeia (Ph. Eur.),,,International Standards Compendium,https://www.edqm.eu/en/european-pharmacopoeia-ph-eur-11th-edition,"Official European drug-quality standards, referenced in many regulatory frameworks."
British Pharmacopoeia (BP),,,National Standards Compendium (UK),https://www.pharmacopoeia.com,"Official UK drug standards, historically referenced in India and Commonwealth countries."
International Pharmaceutical Federation (FIP),,,International Professional Body,https://www.fip.org,Global federation of pharmacists and pharmaceutical scientists; issues practice/ethics statements.
Council for International Organizations of Medical Sciences (CIOMS),,,International Ethics/Safety Body,https://cioms.ch,Publishes international ethical guidelines and pharmacovigilance reports (CIOMS I–VIII).
Declaration of Helsinki (World Medical Association),,,International Ethical Guideline,https://www.wma.net/policies-post/wma-declaration-of-helsinki,Foundational ethical principles for medical research involving human subjects.
ISO 13485 – Medical Devices Quality Management,,,International Standard,https://www.iso.org/standard/59752.html,Quality management systems requirement for medical device manufacturers.
ISO 14155 – Clinical Investigation of Medical Devices,,,International Standard,https://www.iso.org/standard/71690.html,Good clinical practice standard specific to medical device trials.
PIC/S (Pharmaceutical Inspection Co-operation Scheme),,,International Cooperative Body,https://picscheme.org,Harmonizes GMP inspection standards among member regulatory authorities.
Global Fund / UNITAID Procurement Guidelines,,,International Procurement Guidance,https://www.theglobalfund.org,Guidelines for quality-assured medicine procurement in global health programmes.
Declaration of Helsinki,World Medical Association,,Foundational Ethics Document,https://www.wma.net/policies-post/wma-declaration-of-helsinki,"Core ethical principles for research involving human subjects: informed consent, risk-benefit, vulnerable groups."
Nuremberg Code (1947),Nuremberg Military Tribunal,,Foundational Ethics Document,https://www.ushmm.org/information/exhibitions/online-exhibitions/special-focus/doctors-trial/nuremberg-code,First internationally recognized code on voluntary consent in human experimentation.
Belmont Report (1979),U.S. National Commission (HHS),,Foundational Ethics Document,https://www.hhs.gov/ohrp/regulations-and-policy/belmont-report,"Establishes respect for persons, beneficence, and justice as core research-ethics principles."
CIOMS International Ethical Guidelines for Health-related Research Involving Humans,CIOMS/WHO,,International Ethics Guideline,https://cioms.ch/publications/product/international-ethical-guidelines-for-health-related-research-involving-humans,"Detailed, scenario-based ethical guidance widely used alongside the Declaration of Helsinki."
ICMR National Ethical Guidelines for Biomedical and Health Research Involving Human Participants (2017),ICMR,,National Ethics Guideline (India),https://ethics.ncdirindia.org/asset/pdf/ICMR_National_Ethical_Guidelines.pdf,"India's binding ethical framework for biomedical/health research, incl. vulnerable populations and biobanking."
Pharmacy Council of India – Code of Pharmacy Ethics,Pharmacy Council of India,,Professional Code of Conduct (India),https://www.pci.nic.in,Statutory ethical code governing registered pharmacists' professional conduct in India.
FIP Code of Ethics for Pharmacists,International Pharmaceutical Federation,,International Professional Code,https://www.fip.org/statements,"Global reference code addressing pharmacists' duties to patients, society, and the profession."
American Pharmacists Association (APhA) – Code of Ethics for Pharmacists,APhA,,Professional Code of Conduct (USA),https://www.pharmacist.com/Code-of-Ethics,"Widely cited professional code emphasizing patient welfare, autonomy, and integrity."
Royal Pharmaceutical Society – Standards for Pharmacy Professionals (UK),General Pharmaceutical Council / RPS,,Professional Standards (UK),https://www.pharmacyregulation.org/standards,"Regulatory standards of conduct, ethics, and performance for UK pharmacy professionals."
Good Clinical Practice (ICH E6) – Ethical Principles Section,ICH,,Research Ethics Guideline,https://www.ich.org/page/efficacy-guidelines,"Embeds ethical conduct requirements (consent, IRB/EC oversight) within trial-quality standards."
WHO – Ethics and Governance of Artificial Intelligence for Health,WHO,,Emerging Ethics Guideline,https://www.who.int/publications/i/item/9789240029200,Extends pharmacy/health ethics principles to AI-enabled drug discovery and diagnostics.
"Indian Council of Medical Research – Ethical Guidelines for Biomedical Research on Human Participants (2006, superseded by 2017 version)",ICMR,,Historical National Guideline,https://main.icmr.nic.in,Predecessor framework useful for historical/ comparative ethics discussion in theses.
UNESCO Universal Declaration on Bioethics and Human Rights (2005),UNESCO,,International Ethics Declaration,https://www.unesco.org/en/legal-affairs/universal-declaration-bioethics-and-human-rights,Broader bioethics framework referenced in pharmacy-ethics coursework.
Beauchamp & Childress – Four Principles of Biomedical Ethics,Oxford University Press (textbook),,Academic Ethical Framework,https://global.oup.com/academic/product/principles-of-biomedical-ethics-9780190640873,"Autonomy, beneficence, non-maleficence, and justice — the standard framework taught in pharmacy ethics courses."
WHO Good Pharmacovigilance Practices – Ethical Reporting Obligations,WHO / IPC (PvPI),,Regulatory Ethics Guideline,https://www.who.int/teams/regulation-prequalification/pharmacovigilance,Ethical duty of healthcare professionals to report adverse drug reactions.
NCBI Bookshelf,NLM/NIH,,Free Biomedical Book Repository,https://www.ncbi.nlm.nih.gov/books,"Hundreds of free full-text biomedical/pharmacology textbooks and reports (e.g., StatPearls)."
WHO Publications / IRIS Repository,World Health Organization,,Free Institutional Repository,https://iris.who.int,"Free PDFs of WHO technical reports, essential-medicine guides, and pharmacovigilance manuals."
Directory of Open Access Books (DOAB),OAPEN Foundation,,Open Access Book Directory,https://www.doabooks.org,"Peer-reviewed academic open-access books, including pharmaceutical sciences."
OpenStax,Rice University,,Free Peer-Reviewed Textbooks,https://openstax.org,Free introductory-level science/biology/chemistry textbooks useful for foundational pharmacy courses.
Open Textbook Library,University of Minnesota,,Free Textbook Repository,https://open.umn.edu/opentextbooks,"Reviewed open textbooks across sciences, some directly relevant to pharmacology."
National Digital Library of India (NDLI),"IIT Kharagpur / MoE, Govt. of India",,Free National Digital Library,https://ndli.gov.in,"Free access to textbooks, theses, and journal articles curated for Indian students."
e-PG Pathshala,UGC / MHRD (India),,Free UGC E-Content Platform,https://epgp.inflibnet.ac.in,"Free postgraduate-level e-content, including pharmacy and pharmaceutical sciences modules."
SWAYAM (Study Webs of Active Learning for Young Aspiring Minds),Govt. of India,,Free MOOC Platform (India),https://swayam.gov.in,"Free courses and downloadable notes for pharmacy, pharmacology, and pharmaceutics."
Project Gutenberg,Project Gutenberg,,Free Public-Domain Library,https://www.gutenberg.org,Historical/public-domain texts useful for the history of pharmacy and pharmacology.
Internet Archive – Texts Collection,Internet Archive,,Free Digital Library,https://archive.org/details/texts,Digitized public-domain and lending editions of older pharmacy/pharmacology texts.
BC Campus Open Education – Pharmacology for Nurses,BCcampus (Canada),,Free Open Textbook,https://opentextbc.ca,Free open pharmacology textbook widely used as an introductory reference.
WHO Model Formulary,World Health Organization,,Free Reference Book,https://www.who.int/publications/i/item/9789241547659,Free formulary listing essential medicines with clinical-use guidance.
British National Formulary (BNF) – Open Access Summary Content,NICE / BMJ Group,,Free/Partially Open Reference,https://bnf.nice.org.uk,UK's standard drug formulary; core content freely browsable online (full access via NHS/subscription).
ICMR e-Publications,Indian Council of Medical Research,,Free Institutional Repository,https://www.icmr.gov.in/publication,"Free access to ICMR guidelines, reports, and research bulletins."
"Shodhganga (for reference theses, see Thesis sheet)","INFLIBNET, Govt. of India",,Free Thesis Repository,https://shodhganga.inflibnet.ac.in,"Free full-text Indian doctoral theses, including pharmacy dissertations."
Goodman & Gilman's The Pharmacological Basis of Therapeutics,"Brunton, Hilal-Dandan, Knollmann (Eds.)",,Pharmacology (Advanced/Reference),,Gold-standard advanced pharmacology reference used globally in PG and research. Publisher: McGraw Hill.
Katzung's Basic and Clinical Pharmacology,Bertram G. Katzung,,Pharmacology (UG/PG),,Widely used standard textbook for medical and pharmacy pharmacology courses. Publisher: McGraw Hill.
Tripathi's Essentials of Medical Pharmacology,K. D. Tripathi,,Pharmacology (UG - India),,The most widely prescribed Indian undergraduate pharmacology textbook. Publisher: Jaypee Brothers Medical Publishers.
Rang & Dale's Pharmacology,"Rang, Ritter, Flower, Henderson",,Pharmacology (UG/PG),,Comprehensive pharmacology text with strong mechanism-based explanations. Publisher: Elsevier.
Remington: The Science and Practice of Pharmacy,"Adejare (Ed.), originally Remington",,Pharmaceutics (Comprehensive Reference),,The classic comprehensive reference across all branches of pharmacy. Publisher: Pharmaceutical Press / Lippincott.
